system:time_start,0
"May 2, 2018",
"May 5, 2018",0.413
"May 7, 2018",0.264
"May 8, 2018",
"May 10, 2018",0.091
"May 12, 2018",
"May 13, 2018",
"May 15, 2018",
"May 17, 2018",0.19
"May 18, 2018",
"May 20, 2018",
"May 22, 2018",
"May 23, 2018",
"May 25, 2018",0.267
"May 27, 2018",0.411
"May 28, 2018",
"May 30, 2018",0.456
"Jun 1, 2018",0.467
"Jun 2, 2018",0.457
"Jun 4, 2018",0.474
"Jun 6, 2018",
"Jun 7, 2018",
"Jun 9, 2018",0.483
"Jun 11, 2018",0.241
"Jun 12, 2018",
"Jun 14, 2018",0.48
"Jun 16, 2018",
"Jun 17, 2018",0.377
"Jun 19, 2018",0.314
"Jun 21, 2018",
"Jun 21, 2018",
"Jun 22, 2018",
"Jun 24, 2018",
"Jun 26, 2018",
"Jun 27, 2018",
"Jun 29, 2018",
"Jul 1, 2018",0.444
"Jul 2, 2018",0.422
"Jul 4, 2018",
"Jul 6, 2018",0.468
"Jul 7, 2018",0.49
"Jul 9, 2018",0.347
"Jul 11, 2018",
"Jul 12, 2018",0.191
"Jul 14, 2018",0.299
"Jul 16, 2018",
"Jul 19, 2018",0.501
"Jul 21, 2018",0.456
"Jul 22, 2018",
"Jul 24, 2018",
"Jul 26, 2018",
"Jul 27, 2018",
"Jul 29, 2018",0.225
"Jul 31, 2018",0.376
"Aug 1, 2018",
"Aug 3, 2018",0.493
"Aug 5, 2018",
"Aug 6, 2018",
"Aug 8, 2018",0.495
"Aug 10, 2018",
"Aug 11, 2018",
"Aug 13, 2018",
"Aug 15, 2018",0.49
"Aug 16, 2018",
"Aug 18, 2018",0.204
"Aug 20, 2018",0.479
"Aug 21, 2018",
"Aug 23, 2018",0.313
"Aug 25, 2018",0.199
"Aug 26, 2018",
"Aug 28, 2018",0.12
"Aug 30, 2018",0.417
"Aug 31, 2018",
"Sep 2, 2018",
"Sep 4, 2018",
"Sep 5, 2018",0.497
"Sep 7, 2018",
"Sep 9, 2018",
"Sep 10, 2018",
"Sep 12, 2018",0.361
"Sep 14, 2018",
"Sep 15, 2018",
"Sep 17, 2018",0.425
"Sep 19, 2018",
"Sep 20, 2018",0.209
"Sep 22, 2018",
"Sep 24, 2018",
"Sep 25, 2018",0.413
"Sep 27, 2018",
"Sep 29, 2018",
"Sep 30, 2018",0.429
"Oct 2, 2018",
"Oct 4, 2018",0.171
"Oct 5, 2018",
"Oct 7, 2018",0.417
"Oct 9, 2018",
"Oct 10, 2018",0.104
"Oct 12, 2018",
"Oct 14, 2018",
"Oct 15, 2018",
"Oct 17, 2018",
"Oct 19, 2018",
"Oct 20, 2018",
"Oct 22, 2018",0.123
"Oct 24, 2018",
"Oct 25, 2018",0.095
"Oct 27, 2018",
"Oct 29, 2018",
"Oct 30, 2018",0.163
"Nov 1, 2018",
"Nov 3, 2018",
"Nov 4, 2018",0.174
"Nov 6, 2018",
"Nov 6, 2018",
"Nov 8, 2018",
"Nov 8, 2018",
"Nov 9, 2018",
"Nov 9, 2018",
"Nov 11, 2018",0.141
"Nov 11, 2018",0.094
"Nov 13, 2018",0.087
"Nov 13, 2018",0.053
"Nov 14, 2018",
"Nov 14, 2018",
"Nov 16, 2018",0.107
"Nov 16, 2018",0.091
"Nov 18, 2018",
"Nov 18, 2018",
"Jan 25, 2019",0.079
"Jan 25, 2019",0.074
"Jan 27, 2019",0.095
"Jan 27, 2019",0.079
"Jan 28, 2019",
"Jan 28, 2019",
"Jan 30, 2019",
"Jan 30, 2019",
"Feb 1, 2019",0.094
"Feb 1, 2019",0.081
"Feb 2, 2019",
"Feb 2, 2019",
"Feb 4, 2019",
"Feb 4, 2019",
"Feb 6, 2019",
"Feb 6, 2019",
"Feb 7, 2019",0.059
"Feb 7, 2019",0.042
"Feb 9, 2019",0.117
"Feb 9, 2019",0.078
"Feb 11, 2019",
"Feb 11, 2019",
"Feb 12, 2019",
"Feb 12, 2019",
"Feb 14, 2019",
"Feb 14, 2019",
"Feb 16, 2019",
"Feb 16, 2019",
"Feb 17, 2019",0.094
"Feb 17, 2019",0.068
"Feb 19, 2019",0.088
"Feb 19, 2019",0.058
"Feb 21, 2019",
"Feb 21, 2019",
"Feb 22, 2019",0.081
"Feb 22, 2019",0.05
"Feb 24, 2019",
"Feb 24, 2019",
"Feb 26, 2019",
"Feb 26, 2019",
"Feb 27, 2019",0.061
"Feb 27, 2019",0.04
"Mar 1, 2019",
"Mar 1, 2019",
"Mar 3, 2019",0.11
"Mar 3, 2019",0.062
"Mar 4, 2019",0.102
"Mar 4, 2019",0.061
"Mar 6, 2019",0.1
"Mar 6, 2019",0.053
"Mar 8, 2019",
"Mar 8, 2019",
"Mar 9, 2019",
"Mar 9, 2019",
"Mar 11, 2019",0.111
"Mar 11, 2019",
"Mar 13, 2019",0.116
"Mar 13, 2019",0.058
"Mar 14, 2019",
"Mar 14, 2019",
"Mar 16, 2019",0.112
"Mar 16, 2019",0.059
"Mar 18, 2019",
"Mar 18, 2019",
"Mar 19, 2019",
"Mar 19, 2019",
"Mar 21, 2019",
"Mar 21, 2019",
"Mar 23, 2019",
"Mar 23, 2019",
"Mar 24, 2019",
"Mar 24, 2019",
"Mar 26, 2019",0.107
"Mar 26, 2019",0.059
"Mar 28, 2019",0.104
"Mar 28, 2019",0.054
"Mar 29, 2019",
"Mar 29, 2019",
"Mar 31, 2019",0.091
"Mar 31, 2019",0.043
"Apr 2, 2019",0.08
"Apr 2, 2019",0.031
"Apr 3, 2019",
"Apr 3, 2019",
"Apr 5, 2019",
"Apr 5, 2019",
"Apr 7, 2019",0.055
"Apr 7, 2019",0.007
"Apr 8, 2019",0.051
"Apr 8, 2019",0.006
"Apr 10, 2019",0.058
"Apr 10, 2019",0.014
"Apr 12, 2019",0.091
"Apr 12, 2019",
"Apr 13, 2019",
"Apr 13, 2019",
"Apr 15, 2019",0.069
"Apr 15, 2019",0.025
"Apr 17, 2019",
"Apr 17, 2019",
"Apr 18, 2019",
"Apr 18, 2019",
"Apr 20, 2019",
"Apr 20, 2019",
"Apr 22, 2019",-0.003
"Apr 22, 2019",-0.029
"Apr 23, 2019",0.035
"Apr 23, 2019",-0.007
"Apr 25, 2019",
"Apr 25, 2019",
"Apr 27, 2019",0.063
"Apr 27, 2019",0.03
"Apr 28, 2019",
"Apr 28, 2019",
"Apr 30, 2019",
"Apr 30, 2019",
"May 2, 2019",
"May 2, 2019",
"May 3, 2019",0.209
"May 3, 2019",0.19
"May 5, 2019",
"May 5, 2019",
"May 7, 2019",
"May 7, 2019",
"May 8, 2019",0.081
"May 8, 2019",
"May 10, 2019",0.414
"May 10, 2019",0.343
"May 12, 2019",0.274
"May 12, 2019",0.273
"May 13, 2019",0.452
"May 13, 2019",0.368
"May 15, 2019",
"May 15, 2019",
"May 17, 2019",
"May 17, 2019",
"May 18, 2019",0.389
"May 18, 2019",0.322
"May 20, 2019",0.447
"May 20, 2019",0.373
"May 22, 2019",
"May 22, 2019",
"May 23, 2019",
"May 23, 2019",
"May 25, 2019",
"May 25, 2019",
"May 27, 2019",
"May 27, 2019",
"May 28, 2019",
"May 28, 2019",
"May 30, 2019",0.474
"May 30, 2019",0.414
"Jun 1, 2019",
"Jun 1, 2019",
"Jun 2, 2019",
"Jun 2, 2019",
"Jun 4, 2019",0.175
"Jun 4, 2019",0.179
"Jun 6, 2019",
"Jun 6, 2019",
"Jun 7, 2019",0.498
"Jun 7, 2019",0.47
"Jun 9, 2019",0.479
"Jun 9, 2019",0.452
"Jun 11, 2019",0.491
"Jun 11, 2019",0.468
"Jun 12, 2019",
"Jun 12, 2019",
"Jun 14, 2019",0.452
"Jun 14, 2019",0.44
"Jun 16, 2019",0.421
"Jun 16, 2019",0.394
"Jun 17, 2019",0.485
"Jun 17, 2019",0.467
"Jun 19, 2019",0.432
"Jun 19, 2019",0.413
"Jun 21, 2019",
"Jun 21, 2019",
"Jun 22, 2019",0.49
"Jun 22, 2019",0.472
"Jun 24, 2019",
"Jun 24, 2019",
"Jun 26, 2019",0.432
"Jun 26, 2019",0.424
"Jun 27, 2019",0.511
"Jun 27, 2019",0.504
"Jun 29, 2019",
"Jun 29, 2019",
"Jul 1, 2019",0.295
"Jul 1, 2019",0.289
"Jul 2, 2019",
"Jul 2, 2019",
"Jul 4, 2019",
"Jul 4, 2019",
"Jul 6, 2019",
"Jul 6, 2019",
"Jul 7, 2019",
"Jul 7, 2019",
"Jul 9, 2019",0.327
"Jul 9, 2019",0.32
